,GLOB_ID,ALT_LABEL,ALT_LABEL_SOURCE,ALT_LABEL_SOURCE_PAGE,ALT_LABEL_REMARK,ALT_LABEL_REMARK_SOURCE,ALT_LABEL_REMARK_SOURCE_PAGE,,CHECKED?,
Thengapattanam (Tengapattanam|Tengapatnam|Tegenepatnam|Tengapatam),GLOB_920,Tengepatnam,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,FALSE,
Travancore (Treevancoer|Trevancoer|Trevancoor),GLOB_421,Travancour,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,FALSE,
Pallipuram (),NR_18 ,Palliepoort,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,FALSE,
Pallipuram (),NR_18 ,Paliporto ,"NL-HaNA_4.VEL_892 Afbeelding van het Casteel Crangenor, zoo als het sig verthoond, als men staat op de overwal op 't Eyland Moschieten.",,,,,,FALSE,
Calbara (),NR_20,Kalbara,NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881,,,,,,FALSE,
Ranny (),NR_0,Fort Rani,NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881,,,,,,FALSE,
Kannur (European Settlement) (),GLOB_29_HUM_1,Kananor,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,The label is linked to Kannur (European settlement) because the location of the text and associated iconography indicates that it references the European settlement on the coast. ,,,,FALSE,
Azhikkal (Baliapatam|Valarpattanam),GLOB_176,Baliepatan ,NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881,,,,,,FALSE,
Dharmadam (),NR_25,Darmepatan,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,,,,FALSE,
Kozhikode (European Settlement) (),GLOB_2_1010_HUM_2,Kalikoet,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881,,The label is linked to Kozhikode (European settlement) because the location of the text and associated iconography indicates that it references the European settlement on the coast. ,,,,FALSE,
Tanur (),GLOB2_1628,Tanor,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,,,,FALSE,
Ponnani (Pananij|Panany|Pannanij|Ponanij|Pannany),GLOB_366,Paniane,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881,,,,,,FALSE,
Chaliyar  (),NR_13,Chali,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,,,,FALSE,
