Places,,,,,,PoolParty URI
FALSE,,,causeway,,http://vocab.getty.edu/aat/300008231,https://digitaalerfgoed.poolparty.biz/globalise/2504512a-4ecc-4b7c-838b-db74edfbeca9
FALSE,,street,,,http://vocab.getty.edu/aat/300008247,https://digitaalerfgoed.poolparty.biz/globalise/4434d299-dc15-48b7-9e64-d3ffe2cbc867
FALSE,,estate,,,http://vocab.getty.edu/aat/300404837,https://digitaalerfgoed.poolparty.biz/globalise/156e18b0-dee8-406e-8f32-7259a573d368
FALSE,,mine,,,http://vocab.getty.edu/aat/300000390,https://digitaalerfgoed.poolparty.biz/globalise/68219995-7bbe-44b0-a9b9-da492f85dbcb
FALSE,,farm,,,http://vocab.getty.edu/aat/300000206,https://digitaalerfgoed.poolparty.biz/globalise/b20ad0b4-0119-4ba6-816b-e98f7a4c572d
TRUE,,military camp,,,,https://digitaalerfgoed.poolparty.biz/globalise/e37b4af4-c423-44ae-b328-8c1603654dce
TRUE,,garden,,,,https://digitaalerfgoed.poolparty.biz/globalise/9ff96df6-316f-4f2d-9a68-84fcd87893f2
TRUE,,plantation,,,,https://digitaalerfgoed.poolparty.biz/globalise/3ab57615-93bf-49cc-a1f0-327e14ca1cfa
TRUE,,,perk,,,https://digitaalerfgoed.poolparty.biz/globalise/ff08099f-3b85-48c8-ab5e-e2c50895565b
TRUE,,canal,(also body of water),,,https://digitaalerfgoed.poolparty.biz/globalise/4c199e1f-806b-405d-8e19-c86bed78f44b
TRUE,,reservoir,(also body of water),,,https://digitaalerfgoed.poolparty.biz/globalise/b219dc73-8d54-4181-af77-0a927aa37038
FALSE,Natural landscapes,,,,http://vocab.getty.edu/page/aat/300132294,https://digitaalerfgoed.poolparty.biz/globalise/aab9d966-d251-43e3-ae02-d0ad0375b5b7
TRUE,,Bodies of Water,,,,https://digitaalerfgoed.poolparty.biz/globalise/a6cd7f6c-709d-4cc7-9297-ac47490aad86
TRUE,,,sea,,,https://digitaalerfgoed.poolparty.biz/globalise/1def21b2-fbe7-48e1-a236-f562dff99614
TRUE,,,lake,,,https://digitaalerfgoed.poolparty.biz/globalise/7fce30ff-c0c2-4b6a-aab6-4f2cd2a2bf8e
TRUE,,,ocean,,,https://digitaalerfgoed.poolparty.biz/globalise/05abdf2e-d71d-4c3e-9125-e3eed855de10
TRUE,,,bay,,,https://digitaalerfgoed.poolparty.biz/globalise/6798ed1b-27a6-4113-9cd8-a78f68b94e7c
TRUE,,,gulf,,,https://digitaalerfgoed.poolparty.biz/globalise/f4f67f28-f00c-4888-a286-f712d82aa9a2
TRUE,,,pearl bank,,,https://digitaalerfgoed.poolparty.biz/globalise/6b7fbbae-8d7f-4fd1-bf49-9b4b7d2cb2e5
TRUE,,,strait,,,https://digitaalerfgoed.poolparty.biz/globalise/46724d25-aa94-4848-a8ca-17fe02b0db2b
TRUE,,,channel,,,https://digitaalerfgoed.poolparty.biz/globalise/1db49a35-5b65-406c-bd1e-6c56d5b649b9
TRUE,,,river,(related to stream),,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919
TRUE,,,stream,(related to river),,https://digitaalerfgoed.poolparty.biz/globalise/b2cd216c-9533-449a-849d-1cbd3840a3d2
TRUE,,,hot spring,,,https://digitaalerfgoed.poolparty.biz/globalise/76721ef1-2272-4f2b-a443-a7886d5c2307
FALSE,,,lagoon,,http://vocab.getty.edu/aat/300008679,https://digitaalerfgoed.poolparty.biz/globalise/6c3c2e6f-3d69-4028-9126-80191051e960
FALSE,,,inlet,,http://vocab.getty.edu/aat/300185707,https://digitaalerfgoed.poolparty.biz/globalise/b362c38c-94fc-46f5-be24-4497ee5f3437
FALSE,,,swamp,,http://vocab.getty.edu/aat/300008905,https://digitaalerfgoed.poolparty.biz/globalise/7176c736-840f-4f18-b123-b63ade4c877e
FALSE,,,roadstead,,http://vocab.getty.edu/aat/300443611,https://digitaalerfgoed.poolparty.biz/globalise/61bf5840-ba7f-4121-b18e-f1c1f101729b
FALSE,,,ford,,http://vocab.getty.edu/aat/300387042,https://digitaalerfgoed.poolparty.biz/globalise/e3a1d994-65e0-4c84-9ef2-993bf1528e47
FALSE,,,waterhole,,http://vocab.getty.edu/aat/300387029,https://digitaalerfgoed.poolparty.biz/globalise/f5dca924-ef9b-4ddd-98ed-b6849ab7c663
TRUE,,,reservoir,(also built env),,https://digitaalerfgoed.poolparty.biz/globalise/b219dc73-8d54-4181-af77-0a927aa37038
TRUE,,,canal,(also built env),,https://digitaalerfgoed.poolparty.biz/globalise/4c199e1f-806b-405d-8e19-c86bed78f44b
TRUE,,Landforms,,,,https://digitaalerfgoed.poolparty.biz/globalise/b4aa60d1-ecba-4218-9e17-9186b390433d
TRUE,,,continent,,,https://digitaalerfgoed.poolparty.biz/globalise/7006b73c-c2eb-4873-8393-5af701fae308
TRUE,,,highland,,,https://digitaalerfgoed.poolparty.biz/globalise/102c5c4b-5272-42b0-ad22-7428c97367bf
TRUE,,,mountain,,,https://digitaalerfgoed.poolparty.biz/globalise/617a0924-1516-4be8-a478-b451bf47f5bf
TRUE,,,hill,,,https://digitaalerfgoed.poolparty.biz/globalise/c1aab052-d89b-471f-a3ad-51c52cdffe2f
FALSE,,,mountain system,,http://vocab.getty.edu/aat/300386832,https://digitaalerfgoed.poolparty.biz/globalise/168b4dfb-083c-4c4b-9bc8-4a824da53f0b
FALSE,,,volcano,,http://vocab.getty.edu/aat/300132325,https://digitaalerfgoed.poolparty.biz/globalise/0c8912b1-6814-4b31-8160-61e51ea1d011
FALSE,,,pass,,http://vocab.getty.edu/aat/300259572,https://digitaalerfgoed.poolparty.biz/globalise/cdf07528-613c-42be-8ba2-b1be048e919b
FALSE,,,reef,,http://vocab.getty.edu/aat/300008808,https://digitaalerfgoed.poolparty.biz/globalise/517cd775-4b32-4dcd-aceb-c9db9d103e24
FALSE,,,cliff,,http://vocab.getty.edu/aat/300008749,https://digitaalerfgoed.poolparty.biz/globalise/e06faa9a-cbe0-4ddc-a795-1e62a57fd38a
